Author,Article title,Issue,Date,Subject location,Subject keywords,URL
"Wakelin, Peter",Reliquaries of past lives,214,May-14,Abergavenny,art;painting;,
Menna Elfyn,Angerdd,214,May-14,,passion;Welsh Keywords (series);,
"Jenkins, Mike",Dim Gobaith Caneri,214,May-14,,poem;,poem;
"Griffiths, Steve",What you took home with you from the night shift,214,May-14,,poem;,poem;
"Kinsey, Christine",Skimmer,214,May-14,,poem;,poem;
"Davies, Joe",The House Sitter,214,May-14,,short story;,
"O'Neill, Rowan",Cardigan Bridge to Ynyslas,214,May-14,"Cardigan Bridge;Ynyslas;Elephant and Castle;St Ives, Cambridgeshire;Ireland;Birmingham;Penbryn,m Pembrokeshire",coastal path;Retracing Wales (series);,
"Pendry, Helen","Politics: this may interest you, local authority politics",214,May-14,,Focus on (series);,
"Collins, Rebecca",The paper club: a blank slate and an open invitation,214,May-14,,Focus on (series);,
"Owen Jones, Craig",Music,214,May-14,,Focus on (series);,
"Stewart, James",Nuclear Power - who cares?,215,Aug-14,Barry;Hinkley Point;Chernobyl,nuclear power;CND,
"Jauhola, Marjaana;Bolong, Yudi",The punks of the tsunami museum - post disaster INdonesia,215,Aug-14,Banda Aceh;Indonesia,punk;tsunami;natural disasters;,
"Jones, Rhian E.",A refusal of Britpop and Blairism - anniversary of The Holy Bible,215,Aug-14,Blackwood;,manic street preachers;music;politics,
"Stevenson, Peter",The world turned upside-down: cross-dressing and protest,215,Aug-14,Marivan;Iraq;Iran;Gezi Park;Bangalore;Philadelphia;Ceinewydd;Aberaeron;Goldthorpe;,protest;cross-dressing;Rebecca Riots,
"Contsantine, Mary-Ann",Rocky Acres: Robert Graves and Harlech,215,Aug-14,Harlech;Charterhouse;Cuinchy;Cambrin;Mametz Wood,World War I;poetry,
"Matthews, Gethin",The sacred cause of liberty and freedom,215,Aug-14,France;Flanders;Wales,World War I;,
"Brockway, Anthony",Emperor Tan and the 'Yellow Peril',215,Aug-14,Cardiff;China;Malaysia,racism;,
"Thomas, Ned",Catching up with Ngugi,215,Aug-14,Kenya,literature;inquality;,
"Conran, Tony",Back to Bangor,215,Aug-14,Bangor;Chelmsford;Liverpool Street; Liverpool;Colwyn Bay;Falkland Islands,,
"Emery, Carl",Education should be a leveller: interview with Huw Lewis AM,215,Aug-14,Welsh Assembly,education,
Catrin Fflur Huws,Cyfraith,215,Aug-14,Aberystwyth,law;Welsh Keywords (series);,
"Kanungo, Nabanita ",Faces at the Gynaecologist's,215,Aug-14,,poem;,poem;
"Davies, Damian Walford",Gnosis,215,Aug-14,,poem;,poem;
"Parry, Ted",144,215,Aug-14,,short story;,
"White, Stephen",Langland to Llangennith,215,Aug-14,Langland;Llangennith,coastal path;Retracing Wales (series);,
"Parker, Mike",Politics - the adrenaline of umbrage,215,Aug-14,,Focus on (series);,
"Pendry, Helen",Books - book addicts beware,215,Aug-14,,Focus on (series);,
"Lord, Peter",Art - Richard Wilson,215,Aug-14,,Focus on (series);,
"Williams, Daniel G.",An angle from Wales,216,Nov-14,Wales,scottish independence,
"Gorman, Damian",An angle from the north of Ireland,216,Nov-14,Northern Ireland,scottish independence,
"Willett, Joanie",An angle from Cornwall,216,Nov-14,Scotland,scottish independence,
"Pendry, Helen",Back to the Miners' Strike,216,Nov-14,Abercwmboi;Aberdare;London;Strasbourg,miners' strike,
"Morris, Jan","On Getting Old, an agnostic sermon",216,Nov-14,Llanystumdwy;Berlin;Somaliland;Dover,ageing,
"Arthur, Len","Save our services, NHS cuts",216,Nov-14,Flint Cottage Hospital;Withybush Hospital;Royal Glamorgan Hospital,NHS;austerity,
"Gray, Kathryn",No longer nation builders: post devolution Anglophone poetry,216,Nov-14,Aberystwyth University,poetry;devolution,
"Chowdhury, Sunandan Roy",The monster Anglopolis: The English Language in India,216,Nov-14,Mumbai;Slovenia;Sri Lanka;Pakistan,English language;colonialism,
"Stradling, Rob",The Breton Collaborators and the Welsh Llenorion,216,Nov-14,Brittany;National LIbrary of Wales;Ireland;South America,World War II;National Library of Wales;Nazism,
"Ramsay, Adrian",Beyond prevention: Centre for Alternative Technology,216,Nov-14,Machynlleth,climate change;ecology;technology,
"Knutson, Reuben",The Preseli Hills transcended: after-images of the 1970s,216,Nov-14,Preseli Hills,art;counterculture;Utopia,
"Jones, Terry",Precious Stone,216,Nov-14,,poem;,poem;
"Griffiths, Steve",Persistance,216,Nov-14,,poem;,poem;
"Minhinnick, Robert",Dannie Abse 1923-2014,216,Nov-14,,"Abse, Dannie;obituary;",
"Cabuts, Paul",The poles of Strumble Head,216,Nov-15,Stumble head,coastal path;Retracing Wales (series);,
"Jones, Ffion",Theatre: chaperoned like lame sheep,216,Nov-14,,Focus on (series);,
"Donavan, Owen",Libraries: fighting back against closures ,216,Nov-14,,Focus on (series);,
"Griffiths, Dai","Music: Manic Street Preachers, Gruff Rhys, Bur Hoff Bau, Gwyllt",216,Nov-14,,Focus on (series);,
"Kirk, Eamon",Obesity in Wales,217,Feb-15,,obesity;austerity;health,
"Ashton, Catrin",Running on the Gelligaer and Merthyr Common,217,Feb-15,Gelligaer;Merthyr Common,running;landscape;,
"Das, Samarendra;Padel, Felix",Flooded out by money: MIning in Odisha India,217,Feb-15,"Odisha, India;",mining;indigenous people,
"Sheppard, Pauline",Tin and Fishes: an extract from a play ,217,Feb-15,St. Just-in-Penwith,mining;tin,
"Parfitt, Claire;Rowe, Rachel",A postcard from New South Wales: coal mining in Australia,217,Feb-15,Taff Bargoed;Cynon Valley;Sydney,mining;coal;migration,
"Thomas, Ned",The Kurdish question and the legacy of empire,217,Feb-15,Kurdistan;Istanbul;Kobani;Syria,minorities;culture;nationalism,
"Von Rothkirch, Alyce",Welsh schools: sites of creativity? Arts in education,217,Feb-15,,arts;education;government,
"Greenslade, David",A lunar sensibility: late Surrealism and Wales,217,Feb-15,Prague;Gutersloh;Swansea,surrealism;art,
"Elgood, Jasper",The Big Painting of Bernard Barnes: St John's Hall Gallery,217,Feb-15,"St John's Chuch, Barmouth",,
Diarmait Mac Giolla Chriost,Radical,217,Feb-15,,radicalism;Welsh Keywords (series);,
"Ghoulson, Christien ",My Mother's Body,217,Feb-15,,poem;,poem;
"Thatcher, Christina",Fruits,217,Nov-14,,short story;,
"Owen, Fiona",Anne Cluysenaar 1936-2014,217,Feb-15,,"Cluysenar, Anne;obituary;",
"Jones, Miriam Elin",A native alternative: Welsh Futurism,217,Feb-15,,futurism;Planet Young Writers (series);,none
"Minnhinnick, Robert","Ffresni: Pwll Swll, Merthyr Mawr",217,Feb-15,Pwll Swll;Merthyr Mawr,coastal path;Retracing Wales (series);,
"Groves, Steve",Politics: social media and the general election,217,Feb-15,,Focus on (series);,
"Adams, Hugh",Art: Artes Mundi 6,217,Feb-15,,Focus on (series);,
"Owen Jones, Craig",Music: the Welsh rock scene in peril,217,Feb-15,,Focus on (series);,
"Gorman, Damian",Anything here worth fighting for? Why the arts matter,218,May-15,Belfast;,poetry;The Troubles,
"Joseph, Mike","Peoples, nations, states and genocides and interview with Mark Levene",218,May-15,Armenia,genocide,
"Taylor, Lucy",Rethinking Welsh Patagonia The Welsh and the Tehuelche People,218,May-15,Patagonia,migration;indigenous people,
"Contsantine, Mary-Ann",Dark Movements: Clive Hicks-Jenkins and the Return of the Mari Lwyd,218,May-15,Aberystwyth Arts Centre,art;tradition,
"Jenkins, Simon",From 'miscegenation' to 'Black Magic Madams': racial politics in Cardiff,218,May-15,Cardiff;Nigeria;Malta,racism;sex;,
Mererid Hopwood,Tangnefedd,218,May-15,,peace;Welsh Keywords (series);,
"Stansfield, Katherine",Against Blood,218,May-15,,poem;,poem;
"Griffiths, Steve",Last riff for Nigel,218,May-15,,poem;,poem;
"Davies, Stevie",Hongerwriter,218,May-15,,short story;,
"Miles, Bethan",Meredydd Evans 1919-2015,218,May-15,,"Evans, Meredydd;obituary;",
"O'Leary, Paul",John Davies 1938-2015,218,May-15,,"Davies, John;obituary;",
"Stevenson;Erin Kavanagh;Martin Bates, Peter",Llandudno,218,May-15,Llandudno,coastal path;Retracing Wales (series);,
"Austin, Hannah",Politics: The Violence Against Women bill,218,May-15,,Focus on (series);,
"Rees, Sara",Art: Democracy,218,May-15,,Focus on (series);,
"Moore, Dylan",Independence: Imagine Wales/Dychmygu Cymru,218,May-15,,Focus on (series);,
"Power, Steph",Music: new classical music releases,218,May-15,,Focus on (series);,
"Lewis, Dylan",Lessons for the fight against rural poverty,219,Aug-15,Penparcau,politics;community development;rural poverty;,https://www.planetmagazine.org.uk/planet-online/219/lessons-for-the-fight
"Parker, Mike",The Paper Trail,219,Aug-15,Ceredigion,politics;newspapers;general election,https://www.planetmagazine.org.uk/planet-online/219/the-paper-trail
"Brooks, Simon",Where is the Welsh Revolution,219,Aug-15,Wales;England;Scotland,politics;Plaid Cymru;Leanne Wood;general election,https://www.planetmagazine.org.uk/planet-online/219/where-is-the-welsh-revolution
"Lloyd, Ben",The Far Paradise,219,Aug-15,St. Davids;New York;Carn Llidi;Pennsylvania,Quakers;art;USA;migration;persecution,https://www.planetmagazine.org.uk/planet-online/219/the-far-paradise
"Butler, Eddie",Scrum Down in the Departure Lounge,219,Aug-15,Madrid;Blaina;,rugby;Francisco Franco;Industrial Engineers of Madrid Rugby Football Club,https://www.planetmagazine.org.uk/planet-online/219/scrum-down-in-the-departure-lounge
"Hopwood, Mererid",Notes from a Funeral Farwell,219,Aug-15,Llansteffan,Osi Rhys Osmond;obituary;art,https://www.planetmagazine.org.uk/planet-online/219/notes-from-a-funeral-farewell
"Mason, Kelvin",New Fronts against fracking,219,Aug-15,,fracking;energy;,https://www.planetmagazine.org.uk/planet-online/219/new-fronts-against-fracking
"Adams, Hugh",Letters,219,Aug-15,Paraguay;,magazines funding,https://www.planetmagazine.org.uk/planet-online/219/letters
"Edwards, Rebecca",A national craving for international praise,219,Aug-15,Cardiff Bay;Caernarfon;Norway;Netherlands;Belgium;Finland;Slovenia,television;drama;,https://www.planetmagazine.org.uk/planet-online/219/a-national-craving-for-international-praise
"Tillotson, Stephanie",Theatre Inside Out,219,Aug-15,Wales Millennium Centre,theatre;Shakespeare,https://www.planetmagazine.org.uk/planet-online/219/theatre-inside-out
Martin Wright,Cymdeithasiaeth,219,Aug-15,Cardiff,language;socialism;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/219/welsh-keywords-cymdeithasiaeth
"Jenkins, Mike",Ower Town,219,Aug-15,,poem;,poem;
"Rhys, Tracy",Weekday Spectrum,219,Aug-15,,poem;,poem;
"Trezise, Rachel ",Fortress-shaped playhouse,219,Aug-15,,short story;,https://www.planetmagazine.org.uk/planet-online/219/fortress-shaped-playhouse
"Rhydderch, Francesca",Cefn Sidan Sands,219,Aug-15,Cefn Sidan;New Quay;Belgium;Conway;Blackpool;,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/219/retracing-wales-cefn-sidan-sands
"Pemberton, Pippa",Shared Walls and Shared Lives,220,Nov-15,Wales;Manchester;Liverpool,housing;architecture;environment,https://www.planetmagazine.org.uk/planet-online/220/shared-walls-and-shared-lives
"Johannes, Adam",We Need a New Deal for Tenants,220,Nov-15,Cardiff;Glasgow,housing;rental;legislation,https://www.planetmagazine.org.uk/planet-online/220/we-need-a-new-deal-for-tenants
"Rose, Jess",No Birth Ever Goes to Plan,220,Nov-15,Bronglais hospital,childbirth;NHS,https://www.planetmagazine.org.uk/planet-online/220/no-birth-ever-goes-to-plan
"Vallejo, Rogelio",The Island Surrounded by Land and Silence,220,Nov-15,Paraguay;Portugal;Armenia;Turkey,Paraguay;language;politics;Spanish;Guaraní ,https://www.planetmagazine.org.uk/planet-online/220/the-island-surrounded-by-land-and-silence
"Bala, Iwan",Fiddling While Venice Drowns?,220,Nov-15,Venice;Berlin;Cardigan Bay,art;Venice Biennale;climate change,https://www.planetmagazine.org.uk/planet-online/220/fiddling-while-venice-drowns
"Timms, Deian",The Psyche of a Psychedelic Nation,220,Nov-15,Wales;USA;,psychedelia;music;Gruff Rhys;,https://www.planetmagazine.org.uk/planet-online/220/the-psyche-of-a-psychedelic-nation
"Williams, Huw L.",Corbyn for Cymru?,220,Nov-15,Tredegar,Jeremy Corbyn;Aneurin Bevan;Labour Party;,https://www.planetmagazine.org.uk/planet-online/220/corbyn-for-cymru
"Savill, Charmian",Cultural freedom through ritual,220,Nov-15,Llanfair Careinion;Llangynog,theatre;Theatr Genedlaethol;ritual,https://www.planetmagazine.org.uk/planet-online/220/cultural-freedom-through-ritual
Mair Rees,Cywilydd,220,Nov-15,Newport;Fforest-fach,shame;language;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/220/welsh-keywords-cywilydd
"Barnie, John",Salem' Revisited,220,Nov-15,France;Wales;England;Liverpool,poem;,poem;
"Day, Adam",The Third of October,220,Nov-15,,poem;,poem;
"Bianchi, Tony",A lost leader,220,Nov-15,Cardiff;Llanelli;Neath,short story;,https://www.planetmagazine.org.uk/planet-online/220/a-lost-Leader
"Rees, Lynne",Aberafan Beach to Briton Ferry,220,Nov-15,Aberafan;Briton Ferry,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/220/retracing-wales-aberafan-beach-to-briton-ferry
"Birtwistle, Meic",We were the Industrial Revolution,221,Feb-16,Yorkshire,coalmining;,https://www.planetmagazine.org.uk/planet-online/221/we-were-the-industrial-revolution
"Rees, Lynne","Steel Town ride, Peril and Persistence",221,Feb-16,Port Talbot;Aberafan;Margam,steel industry;industry,https://www.planetmagazine.org.uk/planet-online/221/steel-town
"Bowen, Bleddyn E",The other red dragon rising?,221,Feb-16,Wales;China,space industry;,https://www.planetmagazine.org.uk/planet-online/221/the-other-red-dragon-rising
"Lauppe-Dunbar, Anne",Following the red thread west,221,Feb-16,West Germany;Wales,travel;emigration;red thread;philosophy,https://www.planetmagazine.org.uk/planet-online/221/following-the-red-thread-west
"Evans, Jill",An Alternative to Scaremongering,221,Feb-16,Wales;EU,EU Referendum;refugees;democracy,https://www.planetmagazine.org.uk/planet-online/221/an-alternative-to-scaremongering
"Lawrence, Huw",Finding a Direction Home,221,Feb-16,Llanelli;Manchester,education;teachers;class,https://www.planetmagazine.org.uk/planet-online/221/finding-a-direction-home
"Loffman, Jen","Blackouts, Bananas and Boundaries",221,Feb-16,Oriel Mostyn,Llandudno,https://www.planetmagazine.org.uk/planet-online/221/blackouts-bananas-and-boundaries
"Churchill, Ieuan",An Unsustainable Future for Wales?,221,Feb-16,Wales,environment;law;sustainability,https://www.planetmagazine.org.uk/planet-online/221/an-unsustainable-future-for-wales
Greg Hill,Cyfieithu,221,Feb-16,,translation;language;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/221/finding-a-direction-home
"Stephens, Meic",Revolution,221,Feb-16,Moscow;Cardiff,poem;,poem;
"Ní Shuileabháin, Eabhan",Growing up,221,Feb-16,,poem;,poem;
"Williams, Gee",Rhyl,221,Feb-16,Rhyl;Japan,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/221/retracing-wales-rhyl
"Ali, Tariq;Rappel, Ian",Fighting the extreme centre,222,May-16,Europe;Wales,Brexit;left-wing politics,https://www.planetmagazine.org.uk/planet-online/222/fighting-the-extreme-centre
"Trezise, Rachel",Taking back chicken mountain,222,May-16,Treorchy,chickens;Treorchy;family,https://www.planetmagazine.org.uk/planet-online/222/taking-back-chicken-mountain
"Coward, Adam",Right turn only,222,May-16,Missouri;Ferguson,exile;US presedential election;Assembly election,https://www.planetmagazine.org.uk/planet-online/222/right-turn-only
"Davies, Rhian",Sounds which span the Irish Sea,222,May-16,Ireland;Fron-goch;Gregynog,music;Easter Rising,https://www.planetmagazine.org.uk/planet-online/222/sounds-which-span-the-irish-sea
"Cullen, Greg",We can refuse to sell our labour,222,May-16,Cardiff,trade unions;collective action,https://www.planetmagazine.org.uk/planet-online/222/trade-union-pride
"Lloyd-Morgan, Ceridwen",Deep roots and elysian groves,222,May-16,MOMA Machynlleth,art;landscape;romanticism,https://www.planetmagazine.org.uk/planet-online/222/landscape-art
"Savill, Charmian",Break a small piece of my heart,222,May-16,National Museum Cardiff;,Newport;chartism;auto-destructive art;art;Ivor Davies,https://www.planetmagazine.org.uk/planet-online/222/auto-destructive-art/
Tony Bianchi,Cwtsh,222,May-16,Tyneside;Cardiff,cuddle;hug;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/222/welsh-keywords-cwtsh
"Skoulding, Zoë ",Hoard,222,May-16,River Adda;Bangor,poem;,poem;
"Edwards, Rhian",Three (the reckoning),222,May-16,,poem;,poem;
"Griffiths, Niall ",Extract from a novel,222,May-16,Ceredigion;,short story;,https://www.planetmagazine.org.uk/planet-online/222/novel-extract-niall-griffiths
"Stewart, James",Pencaer: from Strumble Head to Fishguard,222,May-16,Pencaer;Strumble Head;Fishguard,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/222/retracing-wales-pencaer
"Jones, Aled Gruffydd",A Plato in the Greek government?,223,Aug-16,Greece,Greece;ancient history;Syriza;democracy;internationalism,https://www.planetmagazine.org.uk/planet-online/223/a-plato-in-the-greek-government
"Gwilym, Angharad;Parry, Ted",Scouse not English,223,Aug-16,Liverpool,Liverpool,https://www.planetmagazine.org.uk/planet-online/223/scouse-not-english
"Chapman, Stephen",The struggle against slavery in 21st-Century Wales,223,Aug-16,,slavery;crime,https://www.planetmagazine.org.uk/planet-online/223/the-struggle-against-slavery-in-21st-century-wales
"Gough, Steve",I do not know whether God made me',223,Aug-16,Llanelli;,slavery;mining;,https://www.planetmagazine.org.uk/planet-online/223/i-do-not-know-whether-god-made-me
"Williams,Frances",Wales: a resting state,223,Aug-16,Liverpool;Anglesey,,https://www.planetmagazine.org.uk/planet-online/223/wales-a-resting-state
"Brockway, Anthony",Christ in Androgynous Majesty,223,Aug-16,Llandaff Cathedral;Manhattan;,Llandaff Cathedral;Jacob Epstein;sculpture,https://www.planetmagazine.org.uk/planet-online/223/christ-in-androgynous-majesty/
"Llewellyn, Meic",Another Europe,223,Aug-16,Galicia;Basque;Brittany;Mayo;Nova Scotia;Felinfach;Cornwall;Dingle;Friesland,minority languages;Europe;Tosta;archipelago,https://www.planetmagazine.org.uk/planet-online/223/another-europe/
"Bell, Ellen",Art for the artists sake,223,Aug-16,Oriel Davies Gallery Newtown,contemporary craft;exhibition,https://www.planetmagazine.org.uk/planet-online/223/art-for-the-artists-sake
Rowan O'Neill,Cymysgrywedd,223,Aug-16,Felinwynt,language;hybridity;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/223/welsh-keywords-cymysgrywedd
"Edwards, Jonathan",Tryweryn,223,Aug-16,Capel Celyn,poem;,poem;
"Davies, Damian Walford",Tea,223,Aug-16,Cardiff Docks,poem;,poem;
"Thompson, Zoë Brigley ",The promise of happiness (IV),223,Aug-16,,poem;,poem;
"Constantine, Mary-Ann",Amroth,223,Aug-16,Amroth;Saundersfoot;Pendine;,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/223/retracing-wales-amroth
"Pearce, Sioned;Fox, Stuart",Brexit: What Future for Welsh Anti-Poverty Policy?,224,Nov-16,,poverty;EU,https://www.planetmagazine.org.uk/planet-online/224/brexit-what-future-for-welsh-anti-poverty-policy
"Barnie, John",A shabby affair,224,Nov-16,Iraq;Afghanistan,Chilcot Inquiry;Iraq War;War on Terror;Tony Blair,https://www.planetmagazine.org.uk/planet-online/224/a-shabby-affair
"Knight, Sam",What more can we say?,224,Nov-16,Aberfan,Aberfan disaster;Tribunal of Enquiry (Aberfan);,https://www.planetmagazine.org.uk/planet-online/224/what-more-can-we-say
"Cullen, Greg",Oh he of little faith,224,Nov-16,Cardiff,culture;arts funding;Cardiff Council,https://www.planetmagazine.org.uk/planet-online/224/oh-he-of-little-faith
"Webster, Catrin",Not only surface but skin,224,Nov-16,Elysium Gallery Swansea;Romania;Spain;USA;Switzerland;South Korea;Ireland;England;Wales,contemporary art,https://www.planetmagazine.org.uk/planet-online/224/not-only-surface-but-skin
"Jones, Ffion",Dramatising social media selves,224,Nov-16,Belfast,drama;gender;,https://www.planetmagazine.org.uk/planet-online/224/dramatising-social-media-selves
Richard Crowe,Adnabod,224,Nov-16,Grangetown,knowing;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/224/welsh-keywords-adnabod
"Murray, Nicholas ",Yggdrasil,224,Nov-16,,poem;,poem;
,Post Colonial,224,Nov-16,,poem;,poem;
"Rackstraw, Amanda",Gwawr,224,Nov-16,Dunraven Bay;,short story;,https://www.planetmagazine.org.uk/planet-online/224/gwawr
"Roberts, Hannah",Sounds that carry across borders,224,Nov-16,,languages;bilingualism;Planet Young Writers (series);,https://www.planetmagazine.org.uk/planet-online/224/sounds-that-carry-across-borders
"Parker, Mike",Borth to Machynlleth,224,Nov-16,Borth;Machynlleth,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/224/retracing-wales-borth-to-machynlleth
"Stevenson, Peter",In search of Fanny the Barmaid,225,Feb-17,Provincetown;Greenwich Village;Cardiff;Mynydd Bach,Welsh folk tales; United States;Elections (US);referendum (EU),https://www.planetmagazine.org.uk/planet-online/225/peter-stevenson
"Marsden, Richard;Bestic, Penni",The Weakness of European Wales,225,Feb-17,Scotland;Europe;Wales,Brexit;European Wales;Scotland;Referendum (EU),https://www.planetmagazine.org.uk/planet-online/225/richard-marsden
"Barnie, John",The Hubris of a Pop Prime Minister,225,Feb-17,UK;Iraq;Russia;China;Germany;France,Tony Blair;Iraq War;Chilcot Report;,https://www.planetmagazine.org.uk/planet-online/225/john-barnie
"Gholson, Christien","Prose Poems: Good Guys, Bad Guys and Imagination",225,Feb-17,Ely,,https://www.planetmagazine.org.uk/planet-online/225/good-guys-bad-guys
"Alcott, Tom",Peter Pan in a Bullet-Proof Jacket,225,Feb-17,Penydarren Boys Club;,professional wrestling;WWE;,https://www.planetmagazine.org.uk/planet-online/225/tom-alcott
"Trezise, Rachel",A Thousand Blown-Out Windows,225,Feb-17,Detroit;,art;Mike Kelley,https://www.planetmagazine.org.uk/planet-online/225/rachel-trezise
"Burdett, Georgia",Why Wales Needs an Autism Act,225,Feb-17,Wales,autism;legislation;devolution,https://www.planetmagazine.org.uk/planet-online/225/georgia-burdett
"Bailey, Diane",Walking into a Photograph,225,Feb-17,Dyffryn Ardudwy;,photography;Fay Godwin;environment;activism,https://www.planetmagazine.org.uk/planet-online/225/diane-bailey
"Birtwistle, Meic",Brexit: What next for fight against the far right?,225,Feb-17,Europe,Brexit;far right;EU,https://www.planetmagazine.org.uk/planet-online/225/meic-birtwistle
Marion Löffler,Gweriniaeth,225,Feb-17,Ceredigion,Republicanism;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/225/welsh-keywords-gweriniaeth
"Twm, J.",Breaking,225,Feb-17,,poem;,poem;
"Harrison, Alice",Women running,225,Feb-17,,poem;,poem;
"Morris, Jan",Morfa Bychan,225,Feb-17,Morfa Bychan,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/225/jan-morris
"Evans, Dan",Brexit: How to repair a broken public sphere,226,May-17,Wales;,Brexit;Labour;Antonio Gramsci;,https://www.planetmagazine.org.uk/planet-online/226/dan-evans
"Harris, Jamie",A siren call and a lagoon: elusive Welsh utopias,226,May-17,Wales,utopianism;folklore;history;literature;politics;art;architecture;far right;Senedd,https://www.planetmagazine.org.uk/planet-online/226/jamie-harris
"Ivancu, Emilia",Routing out the Rhinoceroses: Romania's revolution of light,226,May-17,Romania;,space;place;pop culture;literature;folk custom;internet;democracy;corruption,https://www.planetmagazine.org.uk/planet-online/226/emilia-ivancu
"Bhamjee, Hanef",Beholden to no-one bt the oppressed: the Welsh Anti-Apartheid Movement,226,May-17,South Africa;Wales,anti-apartheid movement;Welsh Anti-Apartheid Movement;activism;,https://www.planetmagazine.org.uk/planet-online/226/hanef-bhamjee
"Flay-Petty, Claire;Deininger, Michelle",The cash box and the specimen tine,226,May-17,Cardiff,literature;feminism;literary networks,https://www.planetmagazine.org.uk/planet-online/226/claire-flay-petty-michelle-deininger
"Rees, Gareth",PISA and the myths of national decline,226,May-17,,Welsh government;education;PISA,https://www.planetmagazine.org.uk/planet-online/226/gareth-rees
"Parker, Mike","Lies, damned lies and politics: a media column",226,May-17,,S4C;Byw Celwydd;Conservative Party;Plaid Cymru;Labour Party,https://www.planetmagazine.org.uk/planet-online/226/mike-parker226
"Lloyd-Morgan, Ceridwen",Broken words in a ruined museum: 'Segrgrair' by Paul Eastwood,226,May-17,Wrexham;Bala,contemporary art;review;Paul Eastwood,https://www.planetmagazine.org.uk/planet-online/226/ceridwen-lloyd-morgan
Michael Harvey,Chwedl,226,May-17,Wales,fables;story;language;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/226/michael-harvey
"Johnston, Fred",Sign language,226,May-17,,poem;,poem;
"Davies, Stevie",Star nursery,226,May-17,,short story;,https://www.planetmagazine.org.uk/planet-online/226/stevie-davies
"Gregson, Ian",Bangor to Llandudno,226,May-17,Bangor (Wales);Llandudno;Conwy;Penmaenmawr;,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/226/ian-gregson
"Thomas, Ned",Brexit: a moment of existential danger,227,Aug-17,,Brexit;European Union;laguages;minority languages,https://www.planetmagazine.org.uk/planet-online/227/Ned-Thomas
"Peacock, Sara",Pride and privilege,227,Aug-17,Wales,Welsh language;languages;LGBT+;discrimination,https://www.planetmagazine.org.uk/planet-online/227/sara-peacock
"Minhinnick, Robert",Iwan Llwyd in the Deep South,227,Aug-17,North America;South America;Porthcawl,poetry;Iwan Llwyd;,https://www.planetmagazine.org.uk/planet-online/227/robert-minhinnick
"Thomas, Colin",Migrants: second-class citizens?,227,Aug-17,United States;America;Uganda;Newport (Gwent),emigration;literature;discrimination,https://www.planetmagazine.org.uk/planet-online/227/colin-thomas
"Trezise, Rachel",Memories from the Holy Bible (Rust) Belt,227,Aug-17,,Rhian E. Jones;Manic Street Preachers;popular music;Wales;United States,https://www.planetmagazine.org.uk/planet-online/227/rachel-trezise
"Cullen, Greg",The snap election: not a one-sided game,227,Aug-17,Westminster,media review;television;marxism;general election,https://www.planetmagazine.org.uk/planet-online/227/greg-cullen
"Bell, Ellen",A Culture Defined by What it Discards:Art for the Anthropocene,227,Aug-17,Mission Gallery Swansea;Carmarthen Bay;Port Talbot;Mauritius;United States;Canada,,https://www.planetmagazine.org.uk/planet-online/227/ellen-bell
Paul O'Leary,Crachach,227,Aug-17,Aberystwyth,bourgeosie;crachach;Welsh Keywords (series);,https://www.planetmagazine.org.uk/planet-online/227/paul-oleary
"Llwyd, Iwan",Alcatraz (tr.),227,Aug-17,Alcatraz,poem;,poem;
"Mazelis, Jo",The earth beneath the sky above,227,Aug-17,,short story;,https://www.planetmagazine.org.uk/planet-online/227/jo-mazelis
"Williams, Charlotte",Rhos Point to Pen y Gogarth The Songlines of Home,227,Aug-17,Rhos Point;Pen y Gogarth;Guyana;Llandudno;Australia;,coastal path;Retracing Wales (series);,https://www.planetmagazine.org.uk/planet-online/227/charlotte-williams
"Jones, Ffion",Brexit: what next for Welsh agriculture,228,Nov-17,Wales,Brexit;agriculture,https://www.planetmagazine.org.uk/planet-online/228/What-next-for-Welsh-Agriculture
"Evans, Dan",We need to build a new society: rethinking civics in schools,228,Nov-17,Wales,education;civics;schools;democracy,https://www.planetmagazine.org.uk/planet-online/228/Rethinking-Civics-in-Schools
"Chapman, T. Robin",A handsome little sum: remembering Tony Bianchi,228,Nov-17,,Tony Bianchi;literature;bilingualism,https://www.planetmagazine.org.uk/planet-online/228/Remembering-Tony-Bianchi
