Author,Article title,Issue,pp.,date,location,keyword
Ffrancon,Dai Dialectic and the body politic,80,116-17,,,cartoon;
"Harvie, Christopher",The vanishing island,80,10-13,,,
"Hilton, Ian",The other GDR,80,66-9,,,
"Bielski, Alison","Lost garden, Queen Street Cardiff",81,,,,poem;
"Evans, Christine",Inside the wall,81,,,,poem;
"Jenkins, Mike",Flasher,81,,,,poem;
"Macpherson, Hugh",A fine day four it,81,,,,poem;
,,81,114-115,,,"Academi Gymreig, Yr;"
,,81,53-9,,,agriculture
,,81,86-93,,United States;Wales;,Welsh Americans;
,,81,81-5,,,art;exhibitions;
"Barnie, John",The age of the arthropods,81,33-47,,,
"Bell, Ian",Capitalising on culture - Glasgow 1990,81,3-9,,Glasgow;Scotland,
,,81,111-14,,Wales;,"Campaign for Quality Television, Wales;"
"Disney, Michael",Pillar of light,81,10-13,,,
Ffrancon,Dai Dialectic and the body politic,81,116-17,,,cartoon;
"Graham, Angela",Campaign for Quality Television Wales,81,111-14,,Wales,
"Gray, David J.",A Welsh-American mosaic,81,86-93,,USA;,
"Gwynn, Elinor",The diversification game,81,53-9,,,
"Harvie, Christopher",Up the (Scottish Co-operative Wholesale) reupblic!,81,49-52,,,
"Hill, Greg",The Welsh Academy conference,81,114-15,,,
"Davies, Idris",Thanksgiving,82,,,,poem;
"Havard, Robert",Off duty N.Z.,82,,,,poem;
"Lawrence, Huw",Yr eneth wrthodedig,82,,,,poem;
"Liardet, Tim",Bole-water,82,,,,poem;
"Windsor, Penny",All that is left,82,,,,poem;
"Argemi, Aureli",Ten years of autonomy in Catalunya,82,29-35,,Catalonia;,
,,82,9-17,,,art galleries;
,,82,44-7,,Baden-Wurtenberg;,Germany;
"Barnes, David Russell",International curriculum for 16 to 19 year olds,82,110-12,,,
,,82,107-8,,,Basque language teaching;euskera;education
"Carlin, Patrick",Welsh in Gwent scols: the Basque example,82,107-8,,Gwent;Basque Country;,language;
,,82,29-35,,Catalunya;,
"Davies, Gareth Alban","Guillem Nadal Blane - diplomat, poet, translator",82,70-8,,,
Ffrancon,Dai Dialectic and the body politic,82,114-15,,,cartoon;
"Griffiths, Sally",St David's over the horizon radar base,82,119-20,,,
"Harvie, Christopher",Yes Minister-President!,82,44-7,,,
"Bamford, Kevin",Never too old,83,,,,poem;
"Beynon, B.W.",At Brown's ,83,,,,poem;
"Poole, Richard",The spirit of the age,83,,,,poem;
"Stewart, Pamela",In June,83,,,,poem;
"Widrington, Cissie",Mummy calling,83,,,,poem;
"Al-Hubaishi, RAU",Outside the whale,83,82-8,,,
"Al-Hubaishi, RAU",Survival is for the fittest (Naguib Mahfouz),83,78-81,,,
,,83,76-88,,,Arabic fiction;
,,83,111;114-15,,,arts;
,,83,3-11,,,British identity;
"Brown, Stewart",Welsh Union of Writers' Conference,83,116-18,,,
"Carrog, Eleri",News from the Gutter,83,115-16,,,
"Davies, Gwen",new arts report,83,"111,114-15",,,
Ffrancon,Dialectic of Arabia,83,112-13,,,cartoon;
"Harvie, Christopher",Carlyle on the road to Weimar,83,31-4,,,
"Dressel, Jon",The man who needed to see the Sikosky,84,,,,poem;
"Garlick, Raymond",Patmos,84,,,,poem;
"Jenkins, Mike",Mouthy,84,,,,poem;
"Minhinnick, Robert",World War II come to XXI Heol Eglwys,84,,,,poem;
"Watkins, Clive",The handbag,84,,,,poem;
"Admason, Dave",A killing frost,84,23-9,,,
,,84,118-19,,Canada;,education;
"Clifford, Desmond",The Movement for Middle England,84,119-20,,,
Crombi,Cartoons,84,114-15,,,
"Davies, Gwen","Farmers, factories and the festival of Britain",84,40-9,,,
"Harvie, Christopher",A local train of thought,84,36-9,,,
"Earle, Jean",Infiltrations from the media,85,,,,poem;
"Steven, Kenneth C.",Glasgow,85,,,,poem;
,,85,116-18,,,agriculture
,,85,3-8,,,Arabs;
,,85,46-55,,,art
"Barnes, David Russell",The history curriculum,85,"111,114-15",,,
"Barnie, John",A look at Gaia,85,21-30,,,
Crombi,Cartoons,85,112-13,,,
"Tudor, David",The rise and fall of the London Welsh,85,56-62,,,
"Davies, Elwyn",Dutch battle of the books,85,115-16,,,
"Davies, Gwen",Local radio comes to rurall Wales,85,109-11,,,
"Faqir, Fadia",Beyond the desert storm,85,3- 8,,,
"Gallagher, Tom",Common ground,85,70-5,,,
"Graves, Peter",Ivar Lo-Johansoon and proletarian writing in Sweden,85,35-43,,Sweden;,
"Harvie, Christopher","A mad market, my masters!",85,31-4,,,
"Hourahane, Shelagh",Public art in ian urban context,85,46-55,,,
"Graham, Desmond",Blood shed,86,,,,poem;
"Murray, Les A.",Kimberley brief,86,,,,poem;
"Aitchison, John",International Centre for Protected Landscapes,86,119-20,,,
,,86,3-9,,,Arabs;
"Arnason, Ragnar",Iceland and European convergence,86,26-32,,Iceland;,
,,86,118-19,,,arts funding;
,,86,62-7,,Baden-Wurtenberg;,Germany;
"Barnie, John",The candle in the window,86,68-77,,,
"Beresford, Mike",International centre for Protected landscapes,86,119-20,,,
"Choueiri, Youssef",The Gulf: victors and vanquished,86,3-9,,,
"Clifford, Desmond",Opting out: the future of grant maintained schools,86,"113,116",,,
Crombi,Cartoons,86,114-15,,,
"Gudmundsson, Halldor",The book market in Iceland,86,34-8,,Iceland;,
"Hill, Greg",the darkness that there is,86,78-82,,,
"Hourahane, Shelagh",Sculpture in the landscape,86,43-53,,,
"Beynon, B.W.",Man and wife at sea,87,,,,poem;
"Curtis, Tony",Walking on water,87,,,,poem;
"Finch, Peter",Taken to task,87,,,,poem;
"Jones, Huw",L.S. Lowry,87,,,,poem;
,,87,59-65,,,Anglo-Welsh literature;poetry;
,,87,7-19,,,animals;animal welfare;
,,87,7-19,,Arctic;,
"Barnie, John",Those baby eyes,87,7-19,,,
,,87,66-73,,,brass bands;music;
"Carter, Harold",The language and the census question,87,113-14,,,
"Clancy, Joseph P.",Translating Kate Roberts,87,30-1,,,
"Clifford, Desmond",Opting out of Welsh,87,119-20,,,
Crombi,Cartoons,87,116-17,,,
"Davies, Karl",The Plaid/Green pact,87,112-13,,,
"Harris, John",A long low sigh across the waters,87,20-9,,,
"Harvie, Christopher",Marry in haste?,87,3-6,,,
"Herbert, Trevor",A lament for Sam hughes - the 'last ophicleidist',87,66-73,,,
"Hooker, Jeremy",Questions of identity,87,59-65,,,
"Clancy, Joseph P.",Three hymns (tr.),88,,,,poem;
"Fahey, Diane",Bee flies,88,,,,poem;
"Garlick, Raymond",The commuter,88,,,,poem;
"Stewart, Pamela",Boys,88,,,,poem;
"Williams, William (Pantycelyn)",Three hymns (tr. Joseph P. Clancy),88,,,,poem;
"Ali, Yasmin",Racism in fortress Europe,88,3-8,,,
,,88,119-20,,,
,,88,70-3,,,Arabs;
,,88,115;118-19,,,art;Eisteddfod;
,,88,111-12,,,arts funding;
,,88,19-26,,Australia;,health;
"Barnie, John","King of the blues, poor man of American poetry",88,74-89,,,
,,88,74-89,,,blues;music;
,,88,32-40,,Carribbean;,Carribean literature;
"Clancy, Joseph P.",On translating Pantycelyn,88,48-9,,,
Crombi,Cartoons,88,116-17,,,
"Davies, Karl",Eisteddfodau and teh bid for sponsors,88,111-12,,,
"Edwards, Huw",Cut for stone - Thomas Jones and eighteenth century surgery,88,66-9,,,
"Grimshaw, Anna",Socialism or barbarism,88,32-40,,,
"Bidgood, Ruth",Bull in the nine-acre,89,,,,poem;
"Jenkins, Mike",Carryin' on,89,,,,poem;
"Nisbet, Robert",Notes on contributors,89,,,,poem;
"Wright, Howard",The word,89,,,,poem;
,,89,115;118,,Aberystwyth;,
,,89,44-51,,Argentina;,American Indians;
,,89,44-56,,Argentina;,
,,89,52-6,,,art;landscape;
"Balsom, Denis",Restructuring local government,89,113-15,,,
"Callard, D.A.",Rhys Davies and the welsh expatriate novel,89,84-7,,,
,,89,3-8,,Cardiff;,
"Crick, Bernard",Scottish nationalism at the crossroads,89,62-8,,,
Crombi,Cartoons,89,116-17,,,
"Davies, Mansel","Sir Fred Ayer, oxygen deficiency and Pascal",89,26-30,,,
"Curtis, Tony",Brady's glass,90,,,,poem;
"Thomas, R.S.",Anybody's alphabet,90,,,,poem;
,,90,106-7,,,art;exhibitions;
"Barnie, John",Against the warehouse keepers,90,72-82,,,
"Barnie, John","King of the blues, poor man of American poetry",90,90,,,
"Bune, Anders",The Fjaltring Windmill Association,90,"113,116-17",,Fjaltring;,
"Conran, Tony",The debatable land,90,55-65,,,
Crombi,Cartoons,90,114-15,,,
"Davies, Glyn",The face in the mirror,90,3-6,,,
"Davies, Janet",Bookshops into boutiques,90,44-9,,,
"Evans, Neil",Public culture and the past,90,83--90,,,
"Harris, John",From his Presbyterian pinnacle,90,31-7,,,
"Fulton, Robin",Three poems,91,,,,poem;
"Humphreys, Emyr",Show business,91,,,,poem;
"Pritchard, Selwyn",Family album i.m. Haydn,91,,,,poem;
,,91,3-10,,,
,,91,19-27,,,architecture;
"Barnes, David Russell",Taliesin East and West,91,19-27,,,
"Barnie, John",Where next?,91,3-10,,,
"Bartlett, David",Literature in the nineties,91,"115,118",,,
,,91,28-35,,,"Butler, Lady Eleanor;"
"Callard, D.A.",Literature in the nineties,91,120,,,
"Clancy, Joseph P.",Literature in the nineties,91,113-14,,,
Crombi,Cartoons,91,116-17,,,
"Dukes, Alan",The Irish economy and the European Community,91,36-41,,,
"Gregson, Ian",Speaking under the sea,92,,,,poem;
"Henry, Paul",Amnesia (a border town),92,,,,poem;
"Keen, Alice",Two poems,92,,,,poem;
,,92,39-44,,,arson campaign;
,,92,35-8,,,art
,,92,75-90,,,"Bevan, Aneurin;"
,,92,16-25,,,broadcasting;
"Cole, Stuart",Whose transport?,92,26-34,,,
"Davies, Geraint Talfan",Broadcasting and the nation,92,16-25,,,
Ffrancon,Dai Dialectic,92,116-17,,,cartoon;
"Geary, Roger",Meibion Glyndwr - folk devils or folk heroes?,92,39-44,,,
"Harrison, Mark",Russia 1992: the making of an economic catastrophe,92,10-15,,Russia;Moscow;,
"Harvie, Christopher",Two legs good: four wheels better,92,3-9,,,
"Hill, Greg",Drowned voices,92,61-70,,,
"Beynon, B.W.",Incident at Tan-yr-Allt,93,,,,poem;
"Graham, Desmond",The marching bands (for?),93,,,,poem;
"Morgan, Robert",School,93,,,,poem;
"Murray, Les A.",Extract from a verse novel in progress,93,,,,poem;
"Oakes, Graham",Telegraph station,93,,,,poem;
"Pugh, Sheenagh",The man in the mausoleum,93,,,,poem;
,,93,34-7,,Mexico;,American Indians;
,,93,112-15,,,art
,,93,15-18,,,art;patriotism;
"Barlow, Martin",From the interior,93,55-63,,,
,,93,10-14,,Canada;,Inuit;
"Conran, Tony",Ferns,93,70-6,,,
"Davies, Ivor",Art of Wales,93,1112-13,,,
"Feld, Val",What chance for women?,93,39-43,,,
Ffrancon,Dai Dialectic,93,116-17,,,cartoon;
"Griffiths, Basil",The South Wales race riots,93,20- 8,,,
"Griffiths, Gwyn",Canada - not just two nations,93,10-14,,Canada,
"Hoskins, R.E.",Five hundred years of resistance,93,29-33,,,
"Hughes, Liz",The Local Jigsaw: partnership in community action,93,83-6,,,
"Beagan, Glenda",Shaman,94,,,,poem;
"Finch, Peter",Women women,94,,,,poem;
"Heslop, Helen",See them,94,,,,poem;
"Meredith, Christopher",Five poems,94,,,,poem;
"Stewart, Pamela",My mind's Persia,94,,,,poem;
"Aaron, Jane",Daughters of dissent,94,33-34,,,
,,94,17-20,,,American Indians;
,,94,74-80,,,animals;animal welfare;
,,94,8-16,,,architecture;
,,94,65-73,,,art;landscape;
"Barnie, John",The stone rthreshold,94,74-80,,,
"Beagan, Glenda","To find a speech, a tongue",94,27-32,,,
,,94,56-64,,Brittany;,
"Caldwell, Neil",From Rio to rural Wales,94,113-15,,Rio de Janeiro;,
Ffrancon,Dai Dialectic,94,118-19,,,cartoon;
"Hooker, Jeremy",Doubly subversive (interview with Bobi Jones),94,48-53,,,
"Curtis, Simon",Accountancy and quatrains,95,,,,poem;
"Jenkins, Mike",Among the debris,95,,,,poem;
"Kapoor, Suman K.",Broken oarlocks,95,,,,poem;
"Murray, Les A.",Two poems,95,,,,poem;
"Srivastava, Satyendra",Three poems,95,,,,poem;
,,95,30-5,,,agriculture
,,95,17-23,,,"Archer, Jeffrey;"
"Argemi, Aureli",Language laws - the European context,95,3-6,,,
,,95,42-5,,,art
"Barnes, David Russell",Our Life's Patten,95,109-110,,,
"Barnie, John",Limits to imagination,95,69-82,,,
,,95,83-9,,,"Casey, Gerard;"
,,95,3-6,,Catalunya;,Catalan;language;
"Conran, Tony",Bedwyr Lewis Jones,95,119-20,,,
"Davies, Gwen",Garden Festival Wales,95,115-17,,Ebbw Vale;,
"Davies, John, historian",Wales and Ireland,95,7-16,,,
"Davies, Mansel",Encountering one's betters,95,62-7,,,
Ffrancon,Dai Dialectic,95,112-13,,,cartoon;
"Gower, Jon",Campaign for the countryside,95,117-19,,,
"Gruffydd, Dyfed Elis",Publishing in Wales - 1 (interview with David Lloyd),95,25-9,,,
"Harvie, Christopher",England's Jeffrey Archer,95,17-23,,,
"Hooker, Jeremy",The sun centred in darkness,95,83-9,,,
"Curtis, Tony",Coeurs de plomb,96,,,,poem;
"Earle, Jean",Three poems on Utah,96,,,,poem;
"Gill, G.K.",Crazy Jane heeds the words of the poet and the playwright,96,,,,poem;
"Jenkins, Mike",Graffiti narratives,96,,,,poem;
"Nisbet, Robert",Supermarket stretch,96,,,,poem;
"Pau-Llosa, Ricardo",La historia me absolvera,96,,,,poem;
"Poole, Richard",Three poems,96,,,,poem;
,,96,60-5,,,Anglo-Welsh literature;poetry;
,,96,73-7,,,anti-Semitism;
,Publishing in Wales - 2 (interview with David Lloyd),96,35-41,,,
,,96,42-6,,,architecture;
,,96,28-34,,,art;stained glass;
"Barnes, David Russell",Constitutional fatigue- the 1992 Canadian referendum,96,3-6,,,
,,96,3-6,,Canada;,politics;
"Charles, Nickie",The funding of Welsh Women's Aid,96,85-90,,,
"Davies, Gwen",The painter in glass,96,28-34,,,
"Evans, Meredydd","Saunders Lewis, Tim Williams and The Jewish Chronicle",96,73-7,,,
Ffrancon,Dai Dialectic,96,116-17,,,cartoon;
"Finch, Peter",Doing it live,96,60-5,,,
"Fryde, Edmund",Under scrutiny,96,50-9,,,
"Carr, Sally",Cornish garden,97,,,,poem;
"Clancy, Joseph P.",Saint David's last sermon (tr.),97,,,,poem;
"Lewis, Saunders",Pregeth olaf Dewi Sant/Saint david's last sermon (tr. Joseph P. Clancy),97,,,,poem;
"Mehren, Stein",Five poems (tr. Robin Young),97,,,,poem;
"Young, Robin",Five poems (tr.),97,,,,poem;
"Aitchison, John",The Welsh language in 1991 - a broken heartland and a new beginning?,97,3-10,,,
,,97,50-3,,,art criticsim;
,Maastricht and the environment,97,111-113,,,
,,97,11-13,,,capitalism;
"Carter, Harold",The Welsh language in 1991 - a broken heartland anda new beginning?,97,3-10,,,
"Davies, Grahame",the far Right,97,77-82,,,
"Davies, Janet",The 1992 Manifesto of Cymdeithas yr Iaith Gymraeg,97,113-15,,,
Ffrancon,Dai Dialectic,97,118-19,,,cartoon;
"Gramich, Katie",Gossips and pioneers,97,36-40,,,
"Harris, John",Queen of the rushes,97,64-72,,,
"Bidgood, Ruth",Starlings,98,,,,poem;
"Bidgood, Ruth",January road,98,,,,poem;
Ehedydd Ial,Although my flesh is straw (tr. R.S. Thomas),98,,,,poem;
"Moules, Sue",Falling into the trap,98,,,,poem;
"Thomas, R.S.",Although my flesh is straw (tr.),98,,,,poem;
,,98,3-8,,,arson campaign;
,,98,106-7,,,art;exhibitions;
"Barnes, David Russell",Nationalising our schools,98,118-20,,,
"Beale, Andrew",False dawn at Masstricht,98,43-50,,,
,,98,9-15,,,bird-watching;
,,98,51-6,,,"Bowen, W.G.;"
,,98,3-8,,Caernarfon;,Caernarfon casel
,,98,22-5,,Canada;,
"Cayford, Joanne",The national newspaper of Wales?,98,57-63,,,
"Farringdon, Jill",Theology and feminism,98,74-7,,,
Ffrancon,Dai Dialectic,98,116-17,,,cartoon;
"Francis, Bernard J.",Taffy Bowen's Kamikazes,98,51-6,,,
"Geary, Roger",False dawn at Maastricht?,98,43-50,,Masstricht;,
"Gould, Alan",Two poems,99,,,,poem;
"Hooker, Jeremy",The witness: Ebbw Vale,99,,,,poem;
"Keen, Alice",Four poems,99,,,,poem;
"Miles, Kathy",On the passing on of matter,99,,,,poem;
,,99,3-6,,,"Academi Gymreig, Yr;"
"Adams, David",A well-kept secret,99,29-32,,,
,,99,47-57,,,poetry;Africa;
,,99,120,,San Francisco;,arts;Welsh Arts Festival;San Francisco;
"Bratman, Marilyn",San Francisco Festival,99,120,,San Francisco;,
,,99,40-3,,,broadcasting;Broadcasting Council for Wales;
"Chayat, Sherry",Kim Waale,99,14-41,,,
"Chomsky, Noam",Noam Chomsky in Wales (interview with Philip Thomas),99,7-13,,,
"Clancy, Thomas Owen",Rebelllionin death's kingdom,99,86-91,,,
"Conran, Tony",Tribal poetry and the Gogynfeirdd,99,47-57,,,
"Evans, Neil",Regional government in Britain,99,119-20,,,
Ffrancon,Dai Dialectic,99,116-17,,,cartoon;
"Gardner, Paula",Out of the wilderness,99,33-9,,,
"Hooker, Jeremy",A story of a poem and a sculpture,99,78-85,,,
"Evans, Christine",Four poems,100,,,,poem;
"Hill, Greg",J.S.L. (tr.),100,,,,poem;
"Parry, Robert Williams",J.S.L. (tr. Greg Hill),100,,,,poem;
,,100,32-7,,,art;cultural meaning;
,,100,61-7,,,art criticsim;
,,100,25-31,,Barbados;,
"Barnie, John",Realpolitik and Uptopia,100,3-9,,,
,,100,91-7,,,British identity;
,,100,40-3,,,broadcasting;national identity;
"Costigan, Ruth",Inside Welsh magistrates' courts,100,118-20,,,
"Davies, Gwen",Creating a tradition,100,61-7,,,
"Edwards, Huw",Reading heads,100,68-74,,,
"Evans, Neil",Unlocking the secrets of the Island,100,91-7,,,
Ffrancon,Dai Dialectic,100,114-15,,,cartoon;
"Gwyddbwyll, Pryderi",A National Literature Centre in Swansea,100,116-18,,Swansea;,
,,Special Issue 1992,6-31,,Brittany;,Breton literature;
 ,,,,,,
