Author,Article title,Issue,Date,Subject location,Subject keywords
"Giardelli, Arthur",Eisteddfod art,33,Aug-1976,Wales;,art in Wales;art;Eisteddfodau;National Eisteddfod;
"Jones, Tegwyn",Ufudd-dod yn Barhaus',33,Aug-1976,Ireland;Wales;,"Ballads;Welsh broadside;broadside ballads, Welsh; Irish history;Irish politics;Welsh literature;Welsh language;"
"Levay, Clare",The family farm,33,Aug-1976,Ceredigion;Wales;Cardiganshire;,agriculture;farming;
"Longley, Edna",The universal warning,33,Aug-1976,Northern Ireland;Ulster;,poetry;literature;
"Luke, Paul",Illich and the devolutionists,33,Aug-1976,Brittany;,"nationalism;devolution;Illich, Ivan;"
"Taylor, Clare",In search of Creole cultre,33,Aug-1976,West Indies;,Creole culture;West Indies;culture;
"Thomas, Brynmor",Ireland's great silence,33,Aug-1976,Ireland;,Gaelic (Irish);language;
"Thomas, Ned",Meeting Jean Rhys,33,Aug-1976,,"Rhys, Jean;"
"Williams, Angela",The flamboyant tree,33,Aug-1976,,"Rhys, Jean;"
"Hughes, Richard",R.S. Thomas,33,Aug-1976,,poem;
"Mac Sheoin, Tomas",The dropped stitch (tr.),33,Aug-1976,,poem;
"Mac Sheoin, Tomas",Sea-shore fishermen (tr.),33,Aug-1976,,poem;
"O Direain, Mairtin",The dropped stitch (tr. Toas Mac Sheoin),33,Aug-1976,,poem;
"O Direain, Mairtin",Sea-shore fishermen (tr. Tomas Mac Sheoin),33,Aug-1976,,poem;
"Durrenmatt, Friedrich",Language registers,34,Nov-1976,Switzerland;Germany;Bern;,German language;dialect;language;Bern dialect;
"Gwyndaf, Robin",Crow-stepped gables,34,Nov-1976,Clwyd;,"architecture;Clough, Sir Richard;"
"Jacobs, Nicolas",Learning Welsh - 3,34,Nov-1976,,
"Lloyd, D. Tecwyn",Wales - see England ,34,Nov-1976,Wales;England;,language;Welsh;Welsh language;
"Nairn, Tom",Scotland and Wales,34,Nov-1976,Scotland;Wales;,nationalism;
"Stone, Gerald",The Sorbs of Lusatia,34,Nov-1976,Germany;Wends;Lusatia;,"Lusatia;Sorbs;Sauerwein, Georg;"
"Tripp, John",Border run,34,Nov-1976,,
"Adams, Sam",Rough boys,34,Nov-1976,,poem;
"Evans, J.C.",Town blocks,34,Nov-1976,,poem;
"Furnival, Christine",Parable,34,Nov-1976,,poem;
"Hyde-Thompson, Rodney",The first of November,34,Nov-1976,,poem;
"Jones, Peter Thabit",Stuffed cobra,34,Nov-1976,,poem;
"Leale, B.C.",A day in spring,34,Nov-1976,,poem;
"Leale, B.C.",The last post,34,Nov-1976,,poem;
"Leale, B.C.",Wheel in grass,34,Nov-1976,,poem;
"Sauerwein, Georg",Anwyl Arglwyddes,34,Nov-1976,,poem;
"Sauerwein, Georg",Cymro fum yn fwy na Saes,34,Nov-1976,,poem;
"Tripp, John",Three Squibs,34,Nov-1976,,poem;
"Jones, G.O.",To be burnt unread,35,Dec-1976,,
"Jones, Glyn",Duw it's hard,35,Dec-1976,Wales;,literature;short story;
"Lipman, Beata",Apres durrenmatt,35,Dec-1976,Wales;,"Arts Council;drama;Durrenmatt, Friedrich;"
"Nisbet, Robert",R.S. Thomas,35,Dec-1976,,"Thoms, R.S.;"
"Thomas, Ned",The Bangor Students,35,Dec-1976,Bangor,Bangor;University College;
"Thomas, Ned",Behind the devolution,35,Dec-1976,Wales;,devolution;
"Wain, John",Edward Thomas and Helen Thomas,35,Dec-1976,,"Thomas, Edward;Thomas, Helen;"
"Clarke, Gillian",Last rites,35,Dec-1976,,poem;
"Gahan, Carmel",Eve,35,Dec-1976,,poem;
"Gahan, Carmel",Moving on,35,Dec-1976,,poem;
"Smith, Ray",The making of 'made',35,Dec-1976,,poem;
"Tripp, John",The medium is the menace,35,Dec-1976,,poem;
"Walton, Robert",Sonnet,35,Dec-1976,,poem;
"Walton, Robert",Tricker,35,Dec-1976,,poem;
"Walton, Robert",Wood carver,35,Dec-1976,,poem;
"Webb, Harri",Homecoming,35,Dec-1976,,poem;
"Clark, Andrew","She's bloody beautiful, she is",36,Feb-1977,,
"Cronin, Anthony",The hidden Ireland,36,Feb-1977,Ireland;,politics;
"Fennell, Desmond",Where it went wrong,36,Feb-1977,Ireland;,Gaelic (Irish);Irish language;language;
"Jones, Dewi Morris",The struggle for Breton,36,Feb-1977,Brittany;,Breton language;language;
"Jones, R. Gerallt",Jamaica (interview with Michael Manley),36,Feb-1977,Jamaica;,
"Manley, Michael",Jamaica (interviews with R. Gerallt Jones),36,Feb-1977,,
"Ormond, John",In certain lights: 1. Bad light stops play 2. Patagonian portrait,36,Feb-1977,,
"Puxon, Grattan",Roma,36,Feb-1977,Roma;,Gypsies;Roma;
"Slessor, Malcolm",A viable society,36,Feb-1977,Scotland;,society;
"Smith, Iain Crichton",Scottish Gaelic,36,Feb-1977,Scotland;,Gaelic;Scottish;language;
"Thomas, Ned",Neo-colonial Wales,36,Feb-1977,Wales;,"Colonialism, internal;politics;Wales as a colony;"
"Norris, Leslie",A message for Dafydd ap Gwilym,36,Feb-1977,,poem;
"Ormond, John",Patagonian portrait,36,Feb-1977,,poem;
"Poole, Richard",Abondoned slate quarry,36,Feb-1977,,poem;
"Thomas, Graham",The hedge,36,Feb-1977,,poem;
"Fitzpatrick, Martin",Peter Lord,39,Aug-1977,Wales;,"Lord, Peter;sculpture;"
"Hooker, Jeremy",A seeing belief,39,Aug-1977,,"Humphreys, Emyr;"
"Luckin, Bill",The Gang of Four,39,Aug-1977,China;,China;politics;
"Morgan, Adnre",Three voices,39,Aug-1977,,
"Strubell i Trueta, Miquel",Catalunya,39,Aug-1977,Catalunya;,Catalunya; politics;
"Baras, Alexandros",Erebus and terror (tr. Yannis Goumas),39,Aug-1977,Greece,poem;
"Goumas, Yannis",Erebus and terror (tr.),39,Aug-1977,,poem;
"Ward, J.P.",Search for Y Gadair Ddu,39,Aug-1977,,poem;
Anthony Bianchi,Let the poem shout praise,40,Nov-1977,,"Garlick, Raymond;"
"Brown, George Mackay",The cures of Saint Magnus,40,Nov-1977,,
"Davies, Jeff",Farewell to the Junbilee,40,Nov-1977,,
"Freeman, Bobby",From a TV P.R. office,40,Nov-1977,Wales;,television;
"Jones, David",Swatches from the weave of time,40,Nov-1977,,"Brown, George Mackay;"
"Jones, Elizabeth",The institutions of the new Europe,40,Nov-1977,Europe;,Council of Europe;European Community;
"Nisbet, Robert",Bridge Meadow blues,40,Nov-1977,Wales;Haverfordwest;,football;
"Okey, Robin",Records of popular consciousness,40,Nov-1977,Wales;,social history;
"Pritchard-Jones, Harri",Mixed marriages,40,Nov-1977,Wales;,language;Welsh;marriage;
"Scully, D.B.",Marriage patterns and the decline of Welsh,40,Nov-1977,,language;Welsh;marriage;
"Williams, Glyn",Towards a sociology of Wales,40,Nov-1977,,
"Bidgood, Ruth","Exhibition, Machynlleth",40,Nov-1977,Machynlleth,poem;
"Lewis, David",A Guardian sub-editor remembers,40,Nov-1977,,poem;
"Perry, Alan",In the second-hand bookshop,40,Nov-1977,,poem;
"Tripp, John",Farwell to the Jubilee,40,Nov-1977,,poem;
"Werson, Gerald",Enlightenment,40,Nov-1977,,poem;
"Buchanan, Keith",New world emerging,41,Jan-1978,Canada;Quebec;,"Canada; Politics, Quebec;"
"Duff, Alan",Viragos katona (Nandor Gion),41,Jan-1978,,
"Griffiths, Robert",The other Aneurin Bevan,41,Jan-1978,Tredegar;Westminster;,"Bevan, Aneurin;"
"Heaney, Seamus",The interesting case of John Alphonsus Mulrennan,41,Jan-1978,Ireland;,literature;
"Heinmiller, Glenn",Euzkadi since the elections,41,Jan-1978,Basque provinces;Spain;,Basque;politics;ETA;Euzkadi Ta Azkatasuna;nationalism;
"Nash, Roy",Rethinking rural education,41,Jan-1978,Wales;,education;rural;
Saul,Faces from Llanddewi Brefi,41,Jan-1978,,
"Thomas, Ned","Fourth Channel, eleventh hour",41,Jan-1978,Wales;,broadcasting (Wales); television;
"Thomas, R.S.",The creative writer's suicide,41,Jan-1978,Wales;,creative writing;Anglo-Welsh literature;literature;
"Tripp, John",Family skeletons,41,Jan-1978,,
"Conran, Anthony",The geese (tr.),41,Jan-1978,,poem;
"Garlick, Raymond",Portrait of the young dog as an artist,41,Jan-1978,,poem;
"Merchant, Moelwyn",Ghetto: via negativa,41,Jan-1978,,poem;
"Merchant, Moelwyn",Revealing a skull,41,Jan-1978,,poem;
"Williams-Parry, R.",The geese (tr. Anthony Contran),41,Jan-1978,,poem;
"Campbell, Ian",The teaching of Scottish literature,42,Apr-1978,Scotland;,Scottish literature;literature;teaching;
"Jones, Bobi",I'm your boy,42,Apr-1978,Wales;,marriage;psycho-sociology;psychology;
"Jones, R. Gerallt",A place in the mind,42,Apr-1978,,
"Kennerly, Eija",Growing up in Viipuri,42,Apr-1978,Finland;,
"Price, Ken",St. David's Day at Keswick,42,Apr-1978,,
"Rees, Alwyn D.",A nation with a split personality,42,Apr-1978,Wales;Britain;,bilingualism;
"Roberts, kate",Kate Roberts in person (interview with Herbert Williams),42,Apr-1978,,
"Williams, Herbert",Kate Roberts in person (interview),42,Apr-1978,,
"Williams, Ioan",Kate Roberts in translation,42,Apr-1978,,"Roberts, Kate;"
"Mathias, Roland",Sir Gelli to R.S. ,42,Apr-1978,Gelli,poem;
"Tripp, John",Mouse-race in W1,42,Apr-1978,,poem;
"Tripp, John",Night-shift at Egton,42,Apr-1978,,poem;
"Tripp, John",Safari to Warwick,42,Apr-1978,Warwick,poem;
"Tripp, John",Sleeper into Waverley,42,Apr-1978,Edinburgh,poem;
"Tyler, F.R.",The answer,42,Apr-1978,,poem;
"Baldwin, David",French nationalism - the linguistic dimension,43,June-1978,France;Brittany;,language;nationalism;French;
"Ballard, Paul H.",The changing chapels,43,June-1978,south Wales;,Chapels;south Wales
Council of Europe,The Bordeaux Declaration,43,June-1978,Europe;,regionalisation;
"Fennell, Desmond",More than the fleshpots,43,June-1978,,nationalism;
"Humphreys, Emyr","Poetry, prison and propaganda",43,June-1978,,Welsh literature;poetry (Welsh);
"James, Clive",The language in Dyfed,43,June-1978,Dyfed;Carmarthenshire;Pembrokeshire;Ceredigion;,Welsh language;language;dialect;
"Jones, G.O.",Nails,43,June-1978,,
"Maby, Cedric",Cymru - an international role,43,June-1978,Wales;,international relations;foreign relations;
"Holloway, Geoffrey",Mr Thomas and Mr Watkins,43,June-1978,,poem;
"Mac Sheoin, Tomas",Six poems (tr.),43,June-1978,,poem;
"O Direain, Mairtin",Six poems (tr. Tomas Mac Sheoin),43,June-1978,,poem;
"Williams, F.J.",Afternoon in a desrted scrap-yard,43,June-1978,,poem;
"Abse, Dannie",Return ticket to Cardiff,44,Aug-1978,Cardiff;,
Anthony Bianchi,Waldo and apocalypse,44,Aug-1978,,"Williams, Waldo;War;"
"Crawford, Alistair",Photography in Wales,44,Aug-1978,Wales;,photography;
"Finch, Peter",Small presses,44,Aug-1978,Wales;,printing;publishing;
"Jarman, A.O.H.",The heroic view of life in early Welsh verse,44,Aug-1978,Wales;,Welsh literature;poetry (Welsh);
"Jones, D. Graham",Drawings of Cardiff,44,Aug-1978,Cardiff;,
"Thomas, Ned",Carmarthen journal,44,Aug-1978,Carmarthen;,Cymdeithas yr Iaith Gymraeg;legal system;language;Welsh Language Society;
"Tripp, John",Living in the strip,44,Aug-1978,,
"Watts, Janet",Astrid Lingren,44,Aug-1978,,"Children's books;Lindgren, Astrid;children's literature;"
"Earle, Jean",Leningrad,44,Aug-1978,Leningrad,poem;
"Tripp, John",Alliances,44,Aug-1978,,poem;
"Webb, Harri",Heulyn Vab Gwyn - this is your life,44,Aug-1978,,poem;
"Abse, Leo",Talking about devolution - 1,47,Feb-1979,Cardiff;,devolution;
"Ellis, Tom",Talking about devolution - 2 (interview with Dylan Iorweth),47,Feb-1979,Wales;,devolution;
"Erfyl, Gwyn",Talking about devolution - 1 (interview with Leo Abse),47,Feb-1979,Wales;,devolution;
"Iorwerth, Dylan",Talking about devolution - 2 (interview with Tom Ellis),47,Feb-1979,Wales;,devolution;
"Nisbet, Robert",Dai Prufrock and the Devolution Man,47,Feb-1979,Wales;,devolution;
"Price, Glanville",A new canton is born,47,Feb-1979,Jura;Switzerland;,
"Thomas, Ned",Two cheers for devolution?,47,Feb-1979,,devolution;
"Tripp, John",Views from the taverns,47,Feb-1979,,pubs;
"Walters, Dafydd",Language and the law,47,Feb-1979,Wales;,language;law;
,The Kurds have no friends',47,Feb-1979,Kurdistan;Iraq;Turkey;Syria;,Kurds;
"Barnie, John",Angels,47,Feb-1979,,poem;
"Curtis, Tony",Return to the headland,47,Feb-1979,,poem;
"Davies, Frank",Adult education,47,Feb-1979,,poem;
"Davies, Frank",Facts,47,Feb-1979,,poem;
"Davies, Frank",Mrs Bagshaw,47,Feb-1979,,poem;
"O'Neill, Chris",Mawl i'r Arglwydd,47,Feb-1979,,poem;
"Tripp, John",Nos da to all that,47,Feb-1979,,poem;
"Walton, Robert",Mine host,47,Feb-1979,,poem;
"Walton, Robert",A woman of sixty changed her name,47,Feb-1979,,poem;
"Webb, Harri",Seaside ritual,47,Feb-1979,,poem;
"Jarman, A.O.H.",Plaid Cymru in the Second World War,48,May-1979,Wales;,nationalism;Plaid Cymru;politics;Second World War;World War 2;
"Nisbet, Robert",Dream and innocence,48,May-1979,,
"Osmond, John",Mr Morris and the elephant,48,May-1979,Wales;,devolution;politics;referendum on devolution;
"Parr, Malcolm",Les beaux jours,48,May-1979,,
"Parri, Meurig",Homelands' and heartlands,48,May-1979,South Africa;,politics;
"Perry, Philip",Busking - the graduate alternative,48,May-1979,,busking;entertainment;
"Stephens, Raymond",Dylan Thomas and the biographers,48,May-1979,,
"Tripp, John",Last year in Marianglas,48,May-1979,,
"Watkin, Philip",More commercial radio,48,May-1979,Wales;,broadcasting (Wales); commercial radio;
"Webb, Harri",A visit to the waterworks,48,May-1979,,
,,48,May-1979,Catalunya;Spain;,politics;
"Williams, Masha",Pushkin and Pushchin,48,May-1979,USSR;Russia;,"Pushcin, Ivan Ivanovich;Pushkin, Alexander Sergeevich;history;"
"Evans, J.C.",Three nightmares,48,May-1979,,poem;
"Griffin, T.F.",Dusk on Pendle Hill,48,May-1979,,poem;
"Tripp, John",1.III.79,48,May-1979,,poem;
"Tripp, John",Paradox in Machynlleth,48,May-1979,,poem;
"Williams, F.J.",Pentre,48,May-1979,,poem;
"Tripp, John",Connection in Bridgend,49,,Bridgend,poem;
"Kane, Vincent",Wales from Brussels,5/6,Jun-1971,Wales;Brussels;Belgium,agriculture;Common Market;EEC;
"Mansholt, Sicco Leendert",Wales from Brussels,5/6,Jun-1971,Wales;Brussels;Belgium,Common Market;EEC;
"Ameye, Louis",Wales from Brussels,5/6,Jun-1971,Brussels;Belgium;Wales,industry;
"Jenkins, John",Letters from Wormwood Scrubs,5/6,Jun-1971,Wales;,nationalism;
"Thomas, Ned",Changing the University of Wales - some statements,5/6,Jun-1971,,graduate unemployment;universities;
"Stephens, Raymond",The end of the Victorian family,5/6,Jun-1971,,University of Wales;
"Griffiths, J. Gwyn",A Welsh-medium college,5/6,Jun-1971,,higher education;Welsh language;
"Murgatroyd, Steve J.",Student community action,5/6,Jun-1971,,students;activism;
,Why not a federal structure?,5/6,Jun-1971,,federalism;devolution;
"Engelhard, Mike",Coming down,5/6,Jun-1971,,university graduates;unemployment;
"Luckin, Bill",The politics of corrective education,5/6,Jun-1971,,corrective education;education;penal system;
"Griffiths, Vivian",Gilfach Goch,5/6,Jun-1971,Gilfach Goch;,
"Buchanan, Keith","Wealth, welfare and illfare",5/6,Jun-1971,Wales,economy;welfare;
"Thompson, F.G.",Highland development,5/6,Jun-1971,Scotland;,"Highlands and Islands Development Board;development;planning, regional;"
"Tripp, John",At the rainbow's end,5/6,Jun-1971,Tenby;,
"Hooker, Jeremy",To open the mind,5/6,Jun-1971,,"Olson, Charles;"
"Williams, Jim",Poppit,5/6,Jun-1971,,Sunday schools;
"Thomas, Ned",10:30 and all that,5/6,Jun-1971,Wales;,Eye on Wales (series);broadcasting;television;
"Lewis, C. Roy",The Dulas Valley community,5/6,Jun-1971,Dulas Valley;,Eye on Wales (series);
"Lipman, Beata",With Eccles round the arts,5/6,Jun-1971,,"Eye on Wales (series);arts;Eccles, David McAdam, Lord;Welsh Arts Council;"
"Thomas, Ned",Keeping up with Wales,5/6,Jun-1971,,Eye on Wales (series);publications;
"Jones, Charles",Portraits from local government:1,[1],-,,local government;
"Beynon, Bleddyn",Portraits from local government,[2],-,,local government;
"Nisbet, Robert",Portraits from local government,[3],-,,local government;
"Davies, John D.",Hearing others speak: the South African experience,18/19,Jun-1973,South Africa;,language;
"Edwards, Sian",The great British university on sunset boulevard (1),18/19,Jun-1973,Aberystwyth;,"University College of Wales, Aberystwyth"
"Vaughan-Thomas, David",The great British university on sunset boulevard (2),18/19,Jun-1973,Aberystwyth;,"University College of Wales, Aberystwyth"
"Spikes, John",The great British university on sunset boulevard (3),18/19,Jun-1973,Aberystwyth;,"University College of Wales, Aberystwyth"
"Hammond, Harold E.",How Nixon rode with McCarthy,18/19,Jun-1973,Washington DC;United States;,"McCarthy, Joseph R.;Nixon, Richard Milhouse;"
"Jones, Elizabeth",Bilingual education in the United States,18/19,Jun-1973,United States;,bilingual education;
"Jones, John Idris",So long Frank Lloyd Wright,18/19,Jun-1973,United States;,"Wright, Frank Lloyd;architecture;"
"Jones, Richard",Anglo-American attitudes in the novel,18/19,Jun-1973,,English literature;novels;
"Tripp, John",The English at the Eisteddfod,18/19,Jun-1973,,eisteddfodau;National Eisteddfod;
"Evans, Peter",The arts of politics,18/19,Jun-1973,Wales;,nationalism;
"Nisbet, Robert",Croeso on the sugar wrappings,18/19,Jun-1973,Pembrokeshire;,tourism;
"King, H.K.",The Cambrian Coast Line,18/19,Jun-1973,,Cambrian Coast Railway;
"Jones, Charles",The Freemen of Merthyr,18/19,Jun-1973,Merthyr Tydfil;,local government;
"Beynon, Bleddyn",The councillor,18/19,Jun-1973,,
"Nisbet, Robert",Scene for Keane,18/19,Jun-1973,,
"Thomas, Roger",Llanwrtyd Wells - an evocation,18/19,Jun-1973,Llanwrtyd Wells;,
"Wade, Stephen",A Lancastrian Welsh nationalist,18/19,Jun-1973,Lancashire;,"Bamford, Samuel"
"North, Michael",Living in Wales (8),18/19,Jun-1973,,Living in Wales (series)
"Thomas, Ned",A Commission on the language?,18/19,Jun-1973,,Eye on Wales (series);Welsh language;
"Woolfe, Ray",Second time around,24/25,Aug-1974,Wales;,nationalism;
"Geddes, Michael",Why regional planning never works,24/25,Aug-1974,,"planning, regional;"
"Williams, Joan",One blood yet twain',24/25,Aug-1974,,"Meredith, George;nationalism;English attitudes to Wales;"
"Ngugi, James",On the abolition of the English Department,24/25,Aug-1974,Africa;Kenya,African languages;African literature;University of Nairobi;
"Kane, Vincent;Powell, Enoch;",Devolution and self-determination,24/25,Aug-1974,Spain;Galicia;,devolution;
"Hooker, Jeremy",Living in Wales,24/25,Aug-1974,,Living in Wales (series)
"Rowlands, John G.",The one/the other,24/25,Aug-1974,Wales;,bilingualism
"Tripp, John",End of a Guild,24/25,Aug-1974,,Guild of Welsh Writers;
"Maro, Judith",Israel - back to sources,24/25,Aug-1974,Israel;,
"Osmond, John",inflation and devolution,26/27,Dec-1974,Wales;,devolution;economy;inflation;
"Ionesco, Eugene;Lipman, Beata;",Enter Ionesco,26/27,Dec-1974,Romania;,
"Williams, Joan",Writers of Wales',26/27,Dec-1974,,Anglo-Welsh literature;Welsh literature;Writers of Wales series
"Tripp, John",The way the biscuit crumbles,26/27,Dec-1974,,
"Maidment, Brian",Living in Anglesey,26/27,Dec-1974,Anglesey;,Living in Wales (series)
"Lilly, Mark",The novels of BS Johnson,26/27,Dec-1974,,"Johnson, B.S."
"Stephens, Meic",The Faroe Islands,26/27,Dec-1974,Faroe Islands;,
"Hollyman, John Ll.",ETA and the Basque problem,26/27,Dec-1974,Basque provinces;Spain;France;,ETA;Euzkadi Ta Azkatasuna;nationalism;Basque;
Cymdeithas yr Iaith,Manifesto (tr. Harri Webb),26/27,Dec-1974,,Cymdeithas yr Iaith;Welsh language;translation;
Welsh Language Society,Manifesto (tr. Harri Webb),26/27,Dec-1974,,Cymdeithas yr Iaith;Welsh language;translation;
"Davies, Cynog",The manifesto of Cymdeithas yr Iaith (tr. Harri Webb),26/27,Dec-1974,,Cymdeithas yr Iaith;Welsh language;
"Jones, Roger Stephens",The Angry Summer,37/8,May-1977,,
Celtic League,Statement (on Socialisma nd national aspirations),37/8,May-1977,,nationalism;socialism;
"Cox, Idris",Socialism and the national question,37/8,May-1977,,Conference on Socialism and the National Question;Socialism;nationalism;
"Davies, Brian",Towards a new synthesis,37/8,May-1977,Wales;,Working class movements;nationalism;
"Dyer, D.I.",Revolutionary nationalism,37/8,May-1977,,nationalism;
"Griffiths, Tweli",The November Conference,37/8,May-1977,,Conference on Socialism and the National Question;Socialism;nationalism;
"Haines, Meic",Cymru Goch,37/8,May-1977,,Conference on Socialism and the National Question;Socialism;Cymru Goch;nationalism;
"Hall, Peter",The November Conference,37/8,May-1977,,Conference on Socialism and the National Question;Socialism;nationalism;
"Hall, Peter",Working-class unity,37/8,May-1977,Wales;,Class;working classes;Conference on Socialism and the National Question;Socialism;nationalism;
"Hill, Greg",Fourth World colloquium,37/8,May-1977,,Community;planning;resurgence olloquium on community and planning;
"James, Wynford",Cymdeithasiaeth,37/8,May-1977,Wales;,Conference on Socialism and the National Question;Socialism;nationalism;
"Jones, Richard",The Music of TIme,37/8,May-1977,,"Powell, Anthony;"
"Kelly, Gareth S.","Socialism, multi-national states and sovereignty",37/8,May-1977,,Conference on Socialism and the National Question;Socialism;nationalism;
"Mac Aonghusa, Michael",(Synopsis of speech at the November Conference on Socialism and the National Question),37/8,May-1977,,Conference on Socialism and the National Question;Socialism;nationalism;
"Miles, Gareth",Ambrose Bebb,37/8,May-1977,Wales;,"Bebb, Ambrose;Conference on Socialism and the National Question;Socialism;nationalism;"
"Nairn, Tom",The S.L.P.,37/8,May-1977,Scotland;,"Labour Party, Scottish;"
"Parsons, David W.",Living in Hampstead,37/8,May-1977,,
"Peach, Linden",The pure present,37/8,May-1977,,"Snyder, Gary;"
"Person, Yves",Against the nation-state,37/8,May-1977,,nationalism;socialism;
"Saunders, Tim",Towards a new analysis,37/8,May-1977,,nationalism;
"Williams, Phil",The internal colony,37/8,May-1977,,"Colonialism, internal;nationalism;"
"Williams, Waldo",War and the state,37/8,May-1977,,"pacifism;State, The;War;"
"Wilson, Alistair",Socialism and nationalism (interview),37/8,May-1977,Wales;Scotland;,socialism;nationalism;
"Bell, Stephen",The international tribunal on Britain's presence in Ireland,45/6,Nov-1978,Northern Ireland;Ireland;,International Tribunal on Britain's Presence in Ireland;
"Bugincourt, Jacques",Tourism and the Third World,45/6,Nov-1978,,Third World;Global South;tourism;
"Dale-Jones, Don",Anglo-Welsh literature in the schools of Wales,45/6,Nov-1978,Wales;,Anglo-Welsh literature;education;teaching of literature;
"Davies, D.O.",The Muslim faith is making no progress in Britain,45/6,Nov-1978,,opinion polls;
"Day, Graham",Underdeveloped Wales?,45/6,Nov-1978,Wales;,"Economic development;Eastlake, William;"
"Fennell, Desmond",The Irish Samurai,45/6,Nov-1978,Ireland;Northern Ireland;Ulster;,IRA;republicanism;politics;republicanism;
"Fennell, Desmond",Northern Ireland: the search for a solution,45/6,Nov-1978,Ireland;Northern Ireland;Ulster;,politics;
"Glen, Duncan",Hugh MacDiarmid 1892-1978,45/6,Nov-1978,obituary;,"MacDiarmid, Hugh;obituary"
"Hill, Greg",Living in Wales,45/6,Nov-1978,Wales;,living in Wales;
"Hirst, Desiree",Gradual warfare,45/6,Nov-1978,Northern Ireland;Ulster;,poetry;literature;
"Jones, Roger",A phoenix in Wales,45/6,Nov-1978,Wales;,tourism;
"Lovering, John",The theory of the internal colony,45/6,Nov-1978,Wales;,"Colonialism, internal;Wales as a colony;"
"Nisbet, Robert",Young dog in Swansea,45/6,Nov-1978,Swansea;,"Thomas, Dylan;"
"Poole, Richard",In hazard' ,45/6,Nov-1978,,"Hughes, RIchard;"
"Riley, Howard",In the Upper Afan valley,45/6,Nov-1978,Afan valley;Wales;,
"Thomas, Ned",Northern Ireland - time to go,45/6,Nov-1978,Ireland;Northern Ireland;,politics;
"Puxon, Grattan",Romani chib- the Romani language movement,49-50,Jan-1980,Roma;,Gypsies;language;Roma;language;Romanes;
"Aull, Charlotte H.",Nationalism after the Referendum,49/50,Jan-1980,Wales;,nationalism;Plaid Cymru;referendum on devolution;
"Clough, David",William Eastlake and the human beings,49/50,Jan-1980,,American indians;
"Fisher, Dan",It's the same the 'ole world over...,49/50,Jan-1980,Estonia;USSR;Russia;,
"Gallagher, Tom",Radical retreat,49/50,Jan-1980,,"O'Brien, Conor Cruise;"
"Gwenllian, Sian",Thinking of Bangor?,49/50,Jan-1980,Bangor;Wales;,"University of Wales, Bangor;"
"Hooker, Jeremy",A dream of a country,49/50,Jan-1980,Wales;Pandy;Cambridge;,"Williams, Raymond;"
"Humphreys, Emyr",The night of the fire,49/50,Jan-1980,Wales;Penyberth;,"Lewis, Saunders;Lloyd George, David;nationalism;Valentine, Lewis E.;Williams, D.J.;"
"Jenkins, Michael",In darkest Germany,49/50,Jan-1980,Germany;West Germany;,Federal Republic of Germany;West Germany;
"Jones, J.R.",Need the language divide us?,49/50,Jan-1980,Wales;,nationalism;language;Welsh;Welsh language;
"Jones, Sally Roberts",Talisein and the Ffestiniog Railway,49/50,Jan-1980,Wales;,Anglo-Welsh literature;children's books;
"Spindler, Michael",Llanelidan - a village dies,49/50,Jan-1980,Llanelidan;,Clwyd;
"Thomas, Ned",Come in Planet your time is up,49/50,Jan-1980,Wales;,magazines;Planet (magazine);periodicals;
